,c,k,t͡ʃ,ʃ,t
[c],0,90.909,-12.5,90.909,69.231
[k],90.909,0,100,100,88.889
[t͡ʃ],-12.5,100,0,76.923,100
[ʃ],90.909,100,76.923,0,94.444
[t],69.231,88.889,100,94.444,0
