,c,k,t͡ʃ,ʃ,t
[c],0,52.941,69.231,100,60
[k],52.941,0,95,100,94.686
[t͡ʃ],69.231,95,0,80,95.238
[ʃ],100,100,80,0,100
[t],60,94.686,95.238,100,0
