,c,k,t͡ʃ,ʃ,t
[c],0,14.286,87.5,100,50
[k],14.286,0,100,100,72.727
[t͡ʃ],87.5,100,0,95.455,95
[ʃ],100,100,95.455,0,100
[t],50,72.727,95,100,0
