,c,k,t͡ʃ,ʃ,t
[c],0,0,85.714,100,64.286
[k],0,0,82.353,100,100
[t͡ʃ],85.714,82.353,0,100,100
[ʃ],100,100,100,0,100
[t],64.286,100,100,100,0
