,c,k,t͡ʃ,ʃ,t
[c],0,8.526,85.055,97.577,55
[k],8.526,0,93.274,93.26,86.364
[t͡ʃ],85.055,93.274,0,95.164,91.525
[ʃ],97.577,93.26,95.164,0,93.21
[t],55,86.364,91.525,93.21,0
