,c,k,t͡ʃ,ʃ,t
[c],0,14.286,81.818,91.667,50
[k],14.286,0,100,76.923,81.818
[t͡ʃ],81.818,100,0,88.235,73.333
[ʃ],91.667,76.923,88.235,0,75
[t],50,81.818,73.333,75,0
