,c,k,t͡ʃ,ʃ,t
[c],0,71.536,40.401,84.905,65.72
[k],71.536,0,100,100,82.064
[t͡ʃ],40.401,100,0,87.22,97.311
[ʃ],84.905,100,87.22,0,94.434
[t],65.72,82.064,97.311,94.434,0
