,c,k,t͡ʃ,ʃ,t
[c],0,52,57.143,51.064,56.923
[k],52,0,100,100,77.083
[t͡ʃ],57.143,100,0,81.102,100
[ʃ],51.064,100,81.102,0,86.667
[t],56.923,77.083,100,86.667,0
