,c,k,t͡ʃ,ʃ,t
[c],0,57.143,64.706,100,74.79
[k],57.143,0,100,100,78.723
[t͡ʃ],64.706,100,0,100,91.892
[ʃ],100,100,100,0,100
[t],74.79,78.723,91.892,100,0
