,c,k,t͡ʃ,ʃ,t
[c],0,57.576,73.684,100,60.606
[k],57.576,0,98.507,100,93.548
[t͡ʃ],73.684,98.507,0,75.862,98.507
[ʃ],100,100,75.862,0,100
[t],60.606,93.548,98.507,100,0
