,c,k,t͡ʃ,ʃ,t
[c],0,58.333,75,100,66.667
[k],58.333,0,100,100,100
[t͡ʃ],75,100,0,85.714,100
[ʃ],100,100,85.714,0,100
[t],66.667,100,100,100,0
