,c,k,t͡ʃ,ʃ,t
[c],0,63.636,76.923,100,54.545
[k],63.636,0,100,100,85
[t͡ʃ],76.923,100,0,58.824,100
[ʃ],100,100,58.824,0,100
[t],54.545,85,100,100,0
