,"""c""","""k""","""t͡ʃ""","""ʃ""","""t"""
[c],0.055555556,0.333333333,0.277777778,0,0.333333333
[k],0.058080808,0.883838384,0.03030303,0,0.027777778
[t͡ʃ],0,0,1,0,0
[ʃ],0,0,0.388888889,0.611111111,0
[t],0.027777778,0.083333333,0.027777778,0,0.861111111
