,"c","k","t͡ʃ","ʃ","t",Other
[c],0.25,0.166666667,0.083333333,0.083333333,0.416666667,0
[k],0.333333333,0.333333333,0,0.166666667,0.166666667,0
[t͡ʃ],0.083333333,0,0.666666667,0.083333333,0.166666667,0
[ʃ],0,0.083333333,0.083333333,0.75,0.083333333,0
[t],0,0,0.166666667,0.25,0.583333333,0
