,"""c""","""k""","""t͡ʃ""","""ʃ""","""t"""
[c],0,0.416666667,0.25,0,0.333333333
[k],0,1,0,0,0
[t͡ʃ],0,0,1,0,0
[ʃ],0,0,0.25,0.75,0
[t],0,0,0,0,1
