,"""c""","""k""","""t͡ʃ""","""ʃ""","""t"""
[c],0.181818182,0.363636364,0.181818182,0,0.272727273
[k],0,0.666666667,0,0,0.333333333
[t͡ʃ],0.666666667,0,0.333333333,0,0
[ʃ],0,0,0,1,0
[t],0,0,0.1,0,0.9
