,"""c""","""k""","""t͡ʃ""","""ʃ""","""t"""
[c],0.216161616,0.154545455,0.238383838,0.055555556,0.335353535
[k],0.095238095,0.661375661,0,0,0.243386243
[t͡ʃ],0.611111111,0,0.388888889,0,0
[ʃ],0.088383838,0,0.143939394,0.737373737,0.03030303
[t],0.03030303,0.027777778,0.033333333,0.058080808,0.850505051
