,"""c""","""k""","""t͡ʃ""","""ʃ""","""t"""
[c],0.083333333,0.333333333,0.333333333,0,0.25
[k],0.090909091,0.818181818,0.090909091,0,0
[t͡ʃ],0,0,1,0,0
[ʃ],0,0,0.333333333,0.666666667,0
[t],0.083333333,0.083333333,0.083333333,0,0.75
