,"""c""","""k""","""t͡ʃ""","""ʃ""","""t"""
[c],0.363636364,0.090909091,0.181818182,0,0.363636364
[k],0.5,0.3,0,0,0.2
[t͡ʃ],0,0,1,0,0
[ʃ],0,0,0.090909091,0.909090909,0
[t],0.166666667,0.083333333,0.083333333,0,0.666666667
