,"c","k","t͡ʃ","ʃ","t",Other
[c],0.083333333,0.25,0.25,0,0.416666667,0
[k],0.083333333,0.833333333,0,0,0.083333333,0
[t͡ʃ],0,0,1,0,0,0
[ʃ],0,0,0.583333333,0.416666667,0,0
[t],0,0.166666667,0,0,0.833333333,0
