,"""c""","""k""","""t͡ʃ""","""ʃ""","""t"""
[c],0.26010101,0.169191919,0.143939394,0.027777778,0.398989899
[k],0.388888889,0.35,0.083333333,0.055555556,0.122222222
[t͡ʃ],0.027777778,0,0.888888889,0.027777778,0.055555556
[ʃ],0,0.027777778,0.058080808,0.886363636,0.027777778
[t],0.055555556,0.027777778,0.083333333,0.083333333,0.75
