,"""c""","""k""","""t͡ʃ""","""ʃ""","""t"""
[c],0.166666667,0,0.333333333,0.166666667,0.333333333
[k],0.285714286,0.428571429,0,0,0.285714286
[t͡ʃ],0.583333333,0,0.416666667,0,0
[ʃ],0.181818182,0,0.181818182,0.545454545,0.090909091
[t],0.090909091,0,0,0.090909091,0.818181818
