,"""c""","""k""","""t͡ʃ""","""ʃ""","""t"""
[c],0.3,0.1,0.2,0,0.4
[k],0,0.888888889,0,0,0.111111111
[t͡ʃ],0.583333333,0,0.416666667,0,0
[ʃ],0.083333333,0,0.25,0.666666667,0
[t],0,0.083333333,0,0.083333333,0.833333333
